datetime,lat,lon,depth,magnitude,min_magnitude,max_magnitude,mean_magnitude,median_magnitude,variance_magnitude,kurtosis_magnitude,min_depth,max_depth,mean_depth,median_depth,variance_depth,kurtosis_depth,min_lat,max_lat,mean_lat,median_lat,variance_lat,kurtosis_lat,min_lon,max_lon,mean_lon,median_lon,variance_lon,kurtosis_lon,min_datetime,max_datetime,mean_datetime,median_datetime,variance_datetime,kurtosis_datetime,location_labels
1901-03-01 00:00:01.000,38.2,27.7,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1903-04-04 00:00:00.000,39.0,28.0,20.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1904-05-19 10:02:00.000,38.4,27.2,20.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1904-08-18 20:07:00.000,38.0,27.0,30.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1904-10-10 17:40:00.000,38.4,27.2,20.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1904-10-22 00:00:00.000,38.0,27.0,30.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1905-01-11 17:32:00.000,39.6,27.9,15.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1908-04-12 00:00:00.000,38.2,27.7,9.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1908-06-23 14:16:04.200,38.4,27.2,27.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1908-06-23 14:45:00.000,38.4,27.2,25.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1908-06-23 16:07:00.000,38.4,27.2,38.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1909-01-19 04:57:00.000,38.0,26.5,60.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1909-10-29 16:04:04.200,38.0,27.0,20.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1916-04-26 15:56:01.000,39.2,27.0,10.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1916-08-17 20:22:00.000,38.2,26.2,10.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1917-08-08 03:41:10.000,39.0,27.0,15.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1918-01-16 07:13:28.500,38.34,29.48,10.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1919-11-18 21:54:50.300,39.26,26.71,10.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1920-11-27 16:26:20.000,39.3,26.5,14.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1921-07-24 19:20:00.000,38.8,26.5,22.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1923-07-23 03:40:00.000,38.5,26.0,16.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1923-09-11 10:14:48.000,38.0,29.5,22.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1924-01-22 11:05:44.100,39.51,28.4,80.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1924-04-14 00:00:00.000,39.0,27.8,15.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1924-12-22 17:49:42.000,39.6,27.7,15.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1925-04-29 20:03:40.000,39.6,27.7,15.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1925-07-18 13:22:01.000,38.0,27.0,15.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1925-07-18 16:25:01.000,38.0,27.0,15.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1925-08-05 05:01:00.000,38.1,29.8,30.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1925-08-07 06:46:37.000,38.1,29.8,20.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1925-08-19 05:13:04.000,38.1,29.8,5.0,4.9,4.3,6.7,5.276666666666668,5.3,0.2837888888888889,0.11386716853499612,5.0,80.0,21.766666666666666,18.0,226.17888888888888,6.071671966179199,38.0,39.6,38.58366666666666,38.4,0.313443222222222,-1.0856207130230942,26.0,29.8,27.496333333333332,27.2,0.9911365555555558,0.4047405809292588,-2172355199.0,-1401210803.0,-1725430454.9233332,-1668945505.0,7.24219676472611e+16,-1.5895624353264768,6
1925-09-03 09:52:00.000,38.0,29.0,15.0,4.7,4.3,6.7,5.273333333333335,5.3,0.2859555555555556,0.07913290725395772,5.0,80.0,21.766666666666666,18.0,226.17888888888888,6.07167196617919,38.0,39.6,38.58033333333333,38.4,0.316323222222222,-1.0949214455242733,26.0,29.8,27.56633333333333,27.2,1.1617498888888893,-0.10209533080071198,-2106345600.0,-1400179616.0,-1699691268.8233333,-1646634760.75,6.862767465791527e+16,-1.5954201571890432,6
1926-01-13 01:47:04.400,38.64,28.11,50.0,5.8,4.3,6.7,5.243333333333334,5.3,0.2924555555555556,0.04706767813021706,5.0,80.0,21.6,15.5,227.57333333333335,6.067193425940562,38.0,39.6,38.547,38.4,0.3205676666666665,-0.9669790257957076,26.0,29.8,27.599666666666664,27.2,1.2228832222222226,-0.40189889652134214,-2070799080.0,-1398866880.0,-1676108644.8233333,-1610659550.6,6.557578676472956e+16,-1.532735293228917,6
